,names,authors,ratings,u_date
127,The Hitomi House,undisclosedhimejoshi,General Audiences,01 Jun 2023
128,cabin au,MegucaHistorian,General Audiences,01 Jun 2023
129,Second Chances: Dubious Strangers,WillerMNM,Teen And Up Audiences,31 May 2023
130,Toyo☆Magica Part 1: Champion of Tzeentch,Rukimai,Teen And Up Audiences,01 Jun 2023
131,Forget Me Not,Superyokaigamer,Teen And Up Audiences,31 May 2023
132,"charlotte the dessert ""toppin""",WitheringWisteria,Not Rated,30 May 2023
133,little white dove (cradled by a magia martyr),Shanejayell,General Audiences,30 May 2023
134,Magical Girls Support Group,Failinhearts,Teen And Up Audiences,29 May 2023
135,The Disciples,atamascolily,Teen And Up Audiences,29 May 2023
136,"What's in a Name?: The Use of ""Puella Magi"" in English-Language PMMM Fanworks",FeatherFont,Teen And Up Audiences,29 May 2023
137,the death of peace of mind,Kinjo-drabbles (tsurugikinjo),Mature,29 May 2023
138,Wish for love (at the expense of self),Redkarnation,Teen And Up Audiences,27 May 2023
139,Magical Differences,Exotos135,Mature,28 May 2023
140,Boiling Magi Odalia Magica,selfindulgentkitten,General Audiences,28 May 2023
141,For What It's Worth,atamascolily,Teen And Up Audiences,27 May 2023
142,[Fanvid] I'm Not Afraid of Anything,Dimunsis,Teen And Up Audiences,26 May 2023
143,Drunken Escapades,ParacetamolEmperor,Explicit,26 May 2023
144,"Vindicated Sin, Perennial Atonement",Luka_sama,Teen And Up Audiences,25 May 2023
145,Peligrosa Obsesión,Necoiscool04,General Audiences,25 May 2023
146,Make a Mami Out Of You,WildPegasus,Explicit,25 May 2023
147,世事无常,qingtian23,Explicit,24 May 2023
148,Two School Girls in the Park,IncurablePeppermint,Teen And Up Audiences,23 May 2023
149,Last Resort,magpy,Teen And Up Audiences,23 May 2023
150,Hikikomori Daze,junkohenoshi,Teen And Up Audiences,22 May 2023
151,Missing Faybelle,Youngmoonlight,Teen And Up Audiences,22 May 2023
152,One Wish on the Pleiades,Loli_Molester,Explicit,21 May 2023
153,Seconds for The Goddess,I_Vampyre_I,Explicit,21 May 2023
154,Halfway Across the World,Elick320,Teen And Up Audiences,21 May 2023
155,march martyr,WitheringWisteria,Not Rated,21 May 2023
156,The Hereafter Story,Master_Argus,Teen And Up Audiences,20 May 2023
157,Tickle the ivories,ravenndei628,General Audiences,20 May 2023
158,Puella Magi: Sonic The Hedgehog 2: Rebellion,CrusadingDoomguy,Not Rated,19 May 2023
159,Second Grade Science,dumbgayrock,Teen And Up Audiences,19 May 2023
160,Spawns of Grief,Wispandherlovingwonderland,Teen And Up Audiences,18 May 2023
161,Decks,Loli_Molester,Explicit,18 May 2023
162,A Magical Girl's Obscure Sorrows,Blazing_rain,General Audiences,17 May 2023
163,Trauma Quintet!!,Magical_Souls,Teen And Up Audiences,17 May 2023
164,Teasing the zombie,junkohenoshi,Mature,16 May 2023
165,"a stellaron, guided by the law of cycles herself",WitheringWisteria,Not Rated,15 May 2023
166,Project Guardian,naruhinapwns,Explicit,14 May 2023
167,Flying Home,atamascolily,Teen And Up Audiences,13 May 2023
168,Anachronism,KitsuneofPolaris,General Audiences,13 May 2023
169,Puella death reviews,Touhoufanatic,Teen And Up Audiences,12 May 2023
170,Of Desperation And Accidents,InnocentMort,Not Rated,12 May 2023
171,Sayaka's Fourth wall Monologue,Touhoufanatic,Teen And Up Audiences,12 May 2023
172,auditorium,Mandy129,General Audiences,12 May 2023
173,Heroic from the soul,WitheringWisteria,Teen And Up Audiences,11 May 2023
174,Astral Aeon or Celestial Concept?,Hieronym,General Audiences,11 May 2023
175,To the Stars,Shaymeme,Teen And Up Audiences,11 May 2023
176,Tales of a Guardian,promptedtomyrevenge,Mature,10 May 2023
177,Raspberry Flavor Sorrows,redlerred7,Teen And Up Audiences,10 May 2023
178,A Soul of Dust and Eternity,Exotos135,Teen And Up Audiences,10 May 2023
179,I Just Wanted An Adventure,Yurunyan22,General Audiences,09 May 2023
180,Legend Realm -Battle Cats-,Mado25,Teen And Up Audiences,09 May 2023
181,In That Hospital Room With You,Exotos135,General Audiences,09 May 2023
182,Cerasus Flores Bolsillo Magica,atamascolily,General Audiences,08 May 2023
183,Return to Sender,orphan_account,Teen And Up Audiences,08 May 2023
184,covering up the wound that's been gouged at,lapisgod,Teen And Up Audiences,07 May 2023
185,The Witch of the Biaxial Library,Leyqua,Teen And Up Audiences,07 May 2023
186,Homura Without Madoka,DARKMAGIC313 (power464646),General Audiences,06 May 2023
187,Puella Furia Dark Magica,Lliza3,Teen And Up Audiences,06 May 2023
