,names,authors,ratings,u_date
661,Mami’s table time,Thefallen1986,Explicit,24 Aug 2022
662,Infinity Train: Wish of Vermillion,Exotos135,Teen And Up Audiences,24 Aug 2022
663,subway crossings,grdenofavalon,Not Rated,23 Aug 2022
664,A Study on the Reproductive Behavior of Magical Girls,Researchsis,Explicit,23 Aug 2022
665,"Just me, you, and your pet devil in the back of an ambulance",Fremde,Teen And Up Audiences,22 Aug 2022
666,Greedy,Zea_Dragon,Teen And Up Audiences,21 Aug 2022
667,Mew Mew Maternelle,Loli_Molester,Explicit,21 Aug 2022
668,[podfic of] to radiate with inexhaustible light,idellaphod,Teen And Up Audiences,21 Aug 2022
669,[podfic of] Votum,idellaphod,General Audiences,21 Aug 2022
670,[podfic of] Morning,idellaphod,General Audiences,21 Aug 2022
671,Fate Crossover Night,veritasmahwa,General Audiences,21 Aug 2022
672,Measured Indulgence,whoneedsapublisher,Explicit,20 Aug 2022
673,Heat-Haze Daze,lovely_marii,Teen And Up Audiences,20 Aug 2022
674,Magical Girls,pinkriffic,Explicit,19 Aug 2022
675,Closure,Doublefallen,Teen And Up Audiences,19 Aug 2022
676,Date Night,AkemiHomura103,Teen And Up Audiences,19 Aug 2022
677,The world is still spinning,whydie65,General Audiences,18 Aug 2022
678,Repairing a Broken Record,CelestialDrafts,Teen And Up Audiences,18 Aug 2022
679,PMM Oneshots~! (Requests open!! No NSFW),NotMariFromOmori,Teen And Up Audiences,18 Aug 2022
680,The Reach of Gravity,Yotsubadancesintherain5,General Audiences,17 Aug 2022
681,Madoka's Day of Agony,shadowleech,Explicit,17 Aug 2022
682,my very best friend,orphan_account,Teen And Up Audiences,17 Aug 2022
683,The Maid and the Queen,AkemiHomura103,Teen And Up Audiences,17 Aug 2022
684,Stained Glass,Fremde,Teen And Up Audiences,16 Aug 2022
685,Vicinity: Silken Fate,CrossHime,Teen And Up Audiences,14 Aug 2022
686,Hunters- Demons and Witches,Silver_Kennediett,Mature,14 Aug 2022
687,Clutching a Cross in Prayer,BeanOtter,Explicit,14 Aug 2022
688,Kyōko vs. Gold Saw,GlassGolem,Teen And Up Audiences,14 Aug 2022
689,Little Blurry Stars,sparkle_vomit,Teen And Up Audiences,13 Aug 2022
690,Reunification of Light and Shadow,MegucaHistorian,Teen And Up Audiences,12 Aug 2022
691,Bonds of Research,Shaymeme,Explicit,10 Aug 2022
692,Overpopulation on Earth-C,Ditzy_delusions,General Audiences,10 Aug 2022
693,The Call,AkemiHomura103,General Audiences,10 Aug 2022
694,Thoughts of a God and a Devil,Cherubbit,General Audiences,10 Aug 2022
695,devil’s work,UneasyShield,General Audiences,08 Aug 2022
696,The Last and First Step,redlerred7,Teen And Up Audiences,08 Aug 2022
697,Where City Streets Won't Reach Us,Quintet,Explicit,08 Aug 2022
698,Per Smettere di Soffrire,phfatbeatrice,Mature,08 Aug 2022
699,Liquor Lush,tsudo (dreysam),Explicit,06 Aug 2022
700,Sore and Sick and Sad,Yotsubadancesintherain5,Teen And Up Audiences,06 Aug 2022
701,Unacceptable Catharsis,Mr_Bruhg,Teen And Up Audiences,06 Aug 2022
702,Grounded,ILikeMackerel,General Audiences,06 Aug 2022
703,started with a kiss,Peachy_Petals,Explicit,05 Aug 2022
704,Smile,FuckheadMcGee,Teen And Up Audiences,04 Aug 2022
705,Monachopsis,Blazing_rain,General Audiences,04 Aug 2022
706,Midori Magica,goose286,General Audiences,04 Aug 2022
707,Love With A Vampire,Annette_Dancer,Not Rated,03 Aug 2022
708,the woes of an artist in love,UneasyShield,Teen And Up Audiences,02 Aug 2022
709,Imparare a far Fronte,phfatbeatrice,Mature,01 Aug 2022
710,Worlds Apart,penumbra13,Teen And Up Audiences,01 Aug 2022
711,Harry Potter and the 7 Reincarnated Spirits,EmmaIveli,Teen And Up Audiences,01 Aug 2022
712,Puella Magi Diaries: HN ELLY,TomatoTeddy,Teen And Up Audiences,31 Jul 2022
713,Spamton encounters a Titan,Mikey7,Teen And Up Audiences,30 Jul 2022
714,life from the dead,Peachy_Petals,Teen And Up Audiences,30 Jul 2022
715,it all comes out eventually,NovvaFox,General Audiences,28 Jul 2022
716,Colors Fading,Fremde,Mature,27 Jul 2022
717,Two sides of the same coin,Tari_Saru,General Audiences,27 Jul 2022
718,Izuku The Magical Trap,tsudo (dreysam),Teen And Up Audiences,26 Jul 2022
719,Magical Girls' Best Friend,TomatoTeddy,Explicit,25 Jul 2022
720,Puella Magi Diaries: GERTRUD,Mai_9,Teen And Up Audiences,25 Jul 2022
721,Akemi.,AurousBlaze,Not Rated,24 Jul 2022
722,Sweet shade of apricots,Loli_Molester,General Audiences,24 Jul 2022
723,Trying Something New,x_They_Who_Remain_x,Explicit,24 Jul 2022
724,Suzoka Magica 2.0,AnonymousCrow2140,Explicit,24 Jul 2022
725,The Devil and The Rebel,AnonymousCrow2140,Teen And Up Audiences,23 Jul 2022
726,An Intricate Game,orphan_account,General Audiences,23 Jul 2022
727,Swimming Home,PissAnon,General Audiences,23 Jul 2022
728,Lesbian Apocalypse (title in progress),SailorSun777,Mature,21 Jul 2022
729,Only for Fans,Titan0fPower,Not Rated,21 Jul 2022
730,Six (A Multifandom Retelling),OBSY_Rose,Teen And Up Audiences,21 Jul 2022
731,The Fourth,AnonymousCrow2140,Mature,21 Jul 2022
732,Crepas || Homura x Madoka,JazzySwiftwind22,Teen And Up Audiences,20 Jul 2022
733,It's been a long day,AnonymousCrow2140,General Audiences,20 Jul 2022
734,Have you ever seen the rain?,CrusaderJerome,Teen And Up Audiences,20 Jul 2022
735,White Boy and the Seven Mary Sues,CureDeity,General Audiences,19 Jul 2022
736,Aren't You The Sweetest Little Thing?,shxttyblake,General Audiences,19 Jul 2022
737,"for you, my only meaning.",sage_bloom,General Audiences,19 Jul 2022
738,Til the End of Time,MWkillkenny84,Teen And Up Audiences,18 Jul 2022
739,"Bonds of Souls, Derailing Destiny",AnonymousCrow2140,Teen And Up Audiences,18 Jul 2022
740,Beautiful Tragedy,laffeychan459,Teen And Up Audiences,18 Jul 2022
741,Laffeychan's life as Meguca oneshots and Elseworlds What-Ifs,atamascolily,Teen And Up Audiences,16 Jul 2022
742,Absentia,3_13_Sniper,Teen And Up Audiences,15 Jul 2022
743,Diversis Mundi Magia Actum,cherrymadoka,Teen And Up Audiences,15 Jul 2022
744,the last night i saw you,UCCMaster,Mature,14 Jul 2022
745,Homuzuchi,Yuis Smile (Yuismile),Teen And Up Audiences,13 Jul 2022
746,estranged. [sayaka/hitomi],isophpod,General Audiences,12 Jul 2022
747,Puella Magi - Formation,Doublefallen,Teen And Up Audiences,12 Jul 2022
748,Señor Kyubey,PuellaRanger99,Teen And Up Audiences,08 Jul 2022
749,"spiderlilly, daffodil",PandaHero,Not Rated,07 Jul 2022
750,What Goes Around,atamascolily,Teen And Up Audiences,07 Jul 2022
751,But I don't want to be a chuunibyou!!,DevinTowerwood,Teen And Up Audiences,06 Jul 2022
752,The days of the miraculous,Kroumios,Not Rated,06 Jul 2022
753,Dreamlands,Be Gay do Witchcraft (EverEternals),General Audiences,06 Jul 2022
754,Dexter Morgan Takes Knives Chau to Daddy Daughter Dance,jpollyeh,Mature,06 Jul 2022
755,All the King's Horses,DevinTowerwood,Not Rated,05 Jul 2022
756,Madness,Xenolord,Mature,04 Jul 2022
757,until it ends,Yotsubadancesintherain5,General Audiences,04 Jul 2022
758,"Courtesy of the Red, White and Blue",TerriwRA,Teen And Up Audiences,04 Jul 2022
759,A Hole In Reality,HazelGatoya,General Audiences,04 Jul 2022
760,Of Gods and ordinary lives,Eejilunnio,General Audiences,03 Jul 2022
761,Musings on Love from a Perfect World,CureDeity,Teen And Up Audiences,02 Jul 2022
762,we've got to believe in something,rubylily,Teen And Up Audiences,02 Jul 2022
763,Ashen Eyes,ParacetamolEmperor,Teen And Up Audiences,01 Jul 2022
764,Just Like Heaven,tsudo (dreysam),Explicit,30 Jun 2022
765,May the world be kind,Pauliestorylover,Teen And Up Audiences,30 Jun 2022
766,TitanicShipping Wedding,TerriwRA,General Audiences,30 Jun 2022
767,Puella Magi Madoka Magica Season 2x: Luminous Ash,MiracleGlaive,Teen And Up Audiences,30 Jun 2022
768,Guide to the Eir'Reyas,PsionicsKnight,Not Rated,29 Jun 2022
769,Homura’s kinky prize!,Thefallen1986,Explicit,28 Jun 2022
770,Apricot Blossoms,candiloro,General Audiences,27 Jun 2022
771,camellia,eravix,Teen And Up Audiences,26 Jun 2022
772,A Collection of Short Stories born from Reddit,CloudedArian,Mature,26 Jun 2022
773,Masquerade,Dagaan,Teen And Up Audiences,26 Jun 2022
774,Kyubey,PennsylvaniaTheCat,Not Rated,25 Jun 2022
775,Kaname madoka has to take a fat shit and homura and kiyouko help her in the middle of class,LapisLazulie,Mature,25 Jun 2022
776,Generational Madness,Genocide_Games,General Audiences,24 Jun 2022
777,All The Things She Said,dreysam,Teen And Up Audiences,24 Jun 2022
778,Jealousy,AkemiHomura103,Teen And Up Audiences,24 Jun 2022
779,Ashes and Flame,Celerand,Teen And Up Audiences,22 Jun 2022
780,The Will To Overcome Great Grief,Wyverns_and_Coffee,Teen And Up Audiences,21 Jun 2022
781,Ticking of the Clock,ThisTimeForSure,Mature,20 Jun 2022
782,Puella Magi American Sensei,sinereal,Mature,20 Jun 2022
783,"Someone's paying, when something's too cheap- Somebody's paying something",junebugtwin,Teen And Up Audiences,20 Jun 2022
784,Feels More Like a Memory,HazelGatoya,General Audiences,19 Jun 2022
785,『圆焰』不可思议之国的奇异之书,BTseed,General Audiences,16 Jun 2022
786,The Blue knight and her (stubborn as hell) Princess,Magical_Souls,Teen And Up Audiences,16 Jun 2022
787,Red and Black without Blue or Pink,shadowleech,Explicit,16 Jun 2022
788,The Divine Guise,Drebom,Teen And Up Audiences,15 Jun 2022
789,A Saint Reborn,MegucaHistorian,Teen And Up Audiences,15 Jun 2022
790,A First Time,Dimunsis,Explicit,15 Jun 2022
791,Kyoko gets kidnapped,Magical_Souls,Teen And Up Audiences,15 Jun 2022
792,Under the Light of the Moons (PMMM SI-crossover-ish),Skywalker_T65,Teen And Up Audiences,14 Jun 2022
793,Mami vs. Dead,GlassGolem,Teen And Up Audiences,14 Jun 2022
794,Star☆Pretty Cure!,Zerr0_x,Teen And Up Audiences,13 Jun 2022
795,"Once I Walk a Thousand Miles, Surely Someone Will Offer Me a New Pair of Shoes",CureDeity,Teen And Up Audiences,13 Jun 2022
796,Only Us,Sugarberry_and_tea,Teen And Up Audiences,13 Jun 2022
797,Una Pequeña Limpieza || Homura x Madoka,OBSY_Rose,Teen And Up Audiences,13 Jun 2022
798,I Can't Believe I'm Doing This™ (Kirby) | Bios and Extra Info,Zerr0_x,Teen And Up Audiences,12 Jun 2022
799,The First Wish,HNOwen (HSVNaN),General Audiences,12 Jun 2022
800,A Last Farewell,Celerand,General Audiences,11 Jun 2022
801,Scum Villain Magica,Lwoorl,Not Rated,10 Jun 2022
802,Fun in class,Thefallen1986,Explicit,10 Jun 2022
803,Infinity Train: Girls Can't Love Girls,Exotos135,Teen And Up Audiences,09 Jun 2022
804,hard pass,parallelisme00000,Teen And Up Audiences,09 Jun 2022
805,Team Lightway Season 1,Starlight80,General Audiences,06 Jun 2022
806,Enigma,orphan_account,General Audiences,06 Jun 2022
807,The Sun and the Moon,akashewn,General Audiences,06 Jun 2022
808,Sake Tastes Like Fish,Darkryt,Teen And Up Audiences,05 Jun 2022
809,Fifty Snaas of Grey,d0llw0rk,Not Rated,05 Jun 2022
810,Adjusting to Change,Speedanon,Not Rated,05 Jun 2022
811,Reaching the Happiest Height,WestOrEast,Explicit,04 Jun 2022
812,Taught a Lesson,RedCoyote,Explicit,04 Jun 2022
813,Danganronpa 68: Multifandom Murderhouse,ParacetamolEmperor,Mature,03 Jun 2022
814,Night Light,Alexsboring,General Audiences,02 Jun 2022
815,Showing Off A New Side Of Herself,whoneedsapublisher,Explicit,02 Jun 2022
816,Kyubey's Wish,atamascolily,General Audiences,02 Jun 2022
817,Last Woman Standing,Pauliestorylover,Teen And Up Audiences,02 Jun 2022
818,The Metaverse just got weirder,junkohenoshi,Not Rated,01 Jun 2022
819,In the Mirror,stinkystinkyrat,General Audiences,30 May 2022
820,Strange Loop,atamascolily,Teen And Up Audiences,30 May 2022
821,Love doesn't discriminate,banana_pillow,Teen And Up Audiences,30 May 2022
822,Puellasona Dorks,annunciatingArchangel,General Audiences,29 May 2022
823,When Time Runs Out,tsudo (dreysam),General Audiences,28 May 2022
824,Childish Things,Umbreix,Teen And Up Audiences,27 May 2022
825,It's getting old,Liacream,Not Rated,27 May 2022
826,Who Once and Never Wished,Vervainx,General Audiences,26 May 2022
827,But You're a Cheerleader,Miriion,Explicit,26 May 2022
828,Lost Record,OBSY_Rose,General Audiences,26 May 2022
829,【虎伏】虚构真理,annunciatingArchangel,General Audiences,26 May 2022
830,I Don't Have A Reason To Not Believe You,pinball_mentality,General Audiences,25 May 2022
831,Puella Magi Madoka Magica: After The Tragedy,defuse00,Teen And Up Audiences,24 May 2022
832,Prohibido || Homura x Madoka,swirlyswirl,Mature,24 May 2022
833,Accounting for Taste,Fides_Brunel,Teen And Up Audiences,23 May 2022
834,serving size,CXVAnime,Teen And Up Audiences,23 May 2022
835,Network Magic,stinkystinkyrat,General Audiences,23 May 2022
836,The girl in the mirror,Yotsubadancesintherain5,Not Rated,22 May 2022
837,Scrapped Build/Madoka crossover,TrashDumpFack,General Audiences,22 May 2022
838,Puella Magi - Zamowliannia,whoneedsapublisher,Teen And Up Audiences,22 May 2022
839,Where We Can be Happy,sandstimegender,General Audiences,21 May 2022
840,guess that's so,orphan_account,General Audiences,20 May 2022
841,Epicaricacy,HeyHeyItsFei,Teen And Up Audiences,20 May 2022
842,Shopping Together,charmnotcharming,General Audiences,20 May 2022
843,say the word (your wish is my command),atamascolily,Teen And Up Audiences,20 May 2022
844,I Know the End,Psyga315,Not Rated,18 May 2022
845,Old to the New,Charlotte_Enthusist,Explicit,18 May 2022
846,darling close your weary eyes everything will be fine,ApomaroMellow,Teen And Up Audiences,17 May 2022
847,Dirty Laundry,juzonuki,Teen And Up Audiences,17 May 2022
848,Another Case of Pots and Kettles,GorochuVA,Teen And Up Audiences,17 May 2022
849,Escapism Cycles AU (ABANDONED),Littlenappygirl,Teen And Up Audiences,16 May 2022
850,KawoShin TV,atamascolily,Teen And Up Audiences,14 May 2022
851,the girl in the dream,Blazing_rain,General Audiences,13 May 2022
852,Magia Record: Transcend Game,Yellow14,General Audiences,13 May 2022
853,"Safe, Happy and Protected",atamascolily,General Audiences,13 May 2022
854,Tracks,Darkglade,Teen And Up Audiences,12 May 2022
855,Don't You Dare Look Away,atamascolily,Teen And Up Audiences,11 May 2022
856,Girls Can't Love Girls,SnekWitch,General Audiences,11 May 2022
857,The Adventure of the Sapphire Soul Gem,plushifoxed,Teen And Up Audiences,10 May 2022
858,A New Goddess in Town,atamascolily,Teen And Up Audiences,09 May 2022
859,Partnership,atamascolily,Teen And Up Audiences,08 May 2022
860,Ticking Hearts,NotMariFromOmori,Not Rated,07 May 2022
861,Notes on a Certain Invasive Species,Yotsubadancesintherain5,General Audiences,06 May 2022
862,Moving Day,Loli_Molester,Teen And Up Audiences,06 May 2022
863,"one love, more than five lifetimes",atamascolily,Teen And Up Audiences,05 May 2022
864,10 reasons why @The_magnificent_0taku_san should be my friend,thesupremetrashcan,General Audiences,05 May 2022
865,No Longer the Same Me,DragonLapis,Teen And Up Audiences,04 May 2022
866,Hitomi in Angel Beats,atamascolily,Explicit,04 May 2022
867,Projections,Marcomarcooo,Teen And Up Audiences,03 May 2022
868,If the Seventh Rejects the Salvation of Your Tears,atamascolily,Teen And Up Audiences,02 May 2022
869,She Who Shares My Pain,plushifoxed,Teen And Up Audiences,02 May 2022
870,Inventory,MILLA222,Teen And Up Audiences,01 May 2022
871,sleepover,hopefulheart108,General Audiences,01 May 2022
872,Memories of Somebody,PigeonFacts,Teen And Up Audiences,30 Apr 2022
873,Filaments,Doublefallen,Not Rated,29 Apr 2022
874,Horrores e Frustração,shoyouagun,Mature,28 Apr 2022
875,Tainted Souls and Cracked Gems,Flower__Heart,Teen And Up Audiences,28 Apr 2022
876,People Who Say My Name,RealityCrystal,General Audiences,27 Apr 2022
877,Habromania,GorochuVA,Teen And Up Audiences,26 Apr 2022
878,Warm,mahoutoons,Not Rated,26 Apr 2022
879,Labyrinth of ferocity,MagicalDogToto,Teen And Up Audiences,26 Apr 2022
880,Beachside Hellfire,CelestialDrafts,Not Rated,26 Apr 2022
881,Soul Magica Season Zero,atamascolily,General Audiences,25 Apr 2022
882,Memory,Rwbysona,Not Rated,25 Apr 2022
883,"Romance, Regret, and Reconciliation",Sugarberry_and_tea,Teen And Up Audiences,23 Apr 2022
884,Symphony of the Heart,defuse00,Teen And Up Audiences,23 Apr 2022
885,Junk,Agrippa (Mercurial_Agrippa),Teen And Up Audiences,21 Apr 2022
886,Magical profile,Mercurial_Agrippa,Teen And Up Audiences,20 Apr 2022
887,"You’re the Sun, You’ve never seen the Night",riceao,Teen And Up Audiences,19 Apr 2022
888,Feast of Candles,Startle_Stars,Teen And Up Audiences,18 Apr 2022
889,"An End, Some Means, and a Deranged Lesbian",PhoeniAl,Explicit,17 Apr 2022
890,Метелики,NarcissusE,Teen And Up Audiences,17 Apr 2022
891,Testing the Waters,NepetaLeijon27,Explicit,16 Apr 2022
892,关于年芳36还能成为魔法少女这件事,NighttimeCat,Mature,14 Apr 2022
893,My Valkyrie,orphan_account,General Audiences,14 Apr 2022
894,Qliphoth,orphan_account,Teen And Up Audiences,14 Apr 2022
895,Puella Magi a Mirium Novum Mundi [WIP],seanicornspoice,Teen And Up Audiences,14 Apr 2022
896,The Adventures of Sakura Nyan Q-Tip,TactfullyOverindulgent (TactfullyIndulgent),General Audiences,13 Apr 2022
897,A Malfunctioning Mind,dreysam,Teen And Up Audiences,12 Apr 2022
898,A Witch's Daydream,orphan_account,Teen And Up Audiences,10 Apr 2022
899,Means to an End,Commelina_L,Explicit,09 Apr 2022
900,Mixed Tape,Ereike,Teen And Up Audiences,09 Apr 2022
901,madoka and her girlfriends,atamascolily,General Audiences,09 Apr 2022
902,只要你想,orphan_account,General Audiences,09 Apr 2022
903,Rollercoaster,Madcinder,Teen And Up Audiences,08 Apr 2022
904,Splice,Sodedos,Teen And Up Audiences,08 Apr 2022
905,Madoka and Homura (don't) bake,Download,Not Rated,07 Apr 2022
906,In The Spaces Between The Walls,Pumpkinplus,Teen And Up Audiences,07 Apr 2022
907,宠物,Homo_Homu,Explicit,07 Apr 2022
908,What would you give to save her?,PMAS Uploader (Satellite_Slickers),Teen And Up Audiences,07 Apr 2022
909,Sunny Day In Paris,AkemiHomura103,General Audiences,07 Apr 2022
910,A Slow Death,andromadea,Teen And Up Audiences,07 Apr 2022
911,Puella Magi Adfligo Systema,bubblyverse,Mature,05 Apr 2022
912,The Record,Last_Haven,Mature,04 Apr 2022
913,magical girls can't date satan!,WestOrEast,Teen And Up Audiences,03 Apr 2022
914,magically safe: a madoka magica story after rebellion 🌠,Ashura5000,General Audiences,03 Apr 2022
915,Short Form Dreaming in Magical Girl,AkemiHomura103,General Audiences,02 Apr 2022
916,Writing Checks Her Body Has To Cash,Loli_Molester,Explicit,02 Apr 2022
917,A Marvellous Wish,orphan_account,General Audiences,01 Apr 2022
918,Encounter at the Séance Shrine,Loli_Molester,Teen And Up Audiences,01 Apr 2022
919,The Urobutcher Has Too Much Fun!,BeanOtter,Explicit,31 Mar 2022
920,Selfishly Selfless,Garbage_For_Fandoms,Not Rated,31 Mar 2022
921,Kazumi’s Abnormal Quest,hopefulheart108,Explicit,30 Mar 2022
922,How Not to be Scandalous (and other common college dilemmas),PissAnon,Teen And Up Audiences,30 Mar 2022
923,A Magical Mother,Kamigamikuro,Teen And Up Audiences,29 Mar 2022
924,Beyond My Reach,PissAnon,Teen And Up Audiences,29 Mar 2022
925,Clean up this mess,TerriwRA,General Audiences,29 Mar 2022
926,Is it hard to be Kyubey?,yourecool,Teen And Up Audiences,28 Mar 2022
927,Yachiyo's Interrogation,yyidhraa,Teen And Up Audiences,28 Mar 2022
928,Kagome Satori and the French Exchange Student,Sugarberry_and_tea,Not Rated,28 Mar 2022
929,Dream SMP AUs,Onuuki_de_Mordria,Teen And Up Audiences,28 Mar 2022
930,Homura’s Happy Ending,Baskerra_Hellmane,Not Rated,28 Mar 2022
931,No Surprises,tsudo (dreysam),Teen And Up Audiences,27 Mar 2022
932,Une vie de souffrances,The_Magnificent_0taku_san,Mature,27 Mar 2022
933,The Silverscale Arena Ep. 14: March 2022,Yotsubadancesintherain5,Explicit,27 Mar 2022
934,Dream Lover,AkemiHomura103,Explicit,27 Mar 2022
935,No Hard Feelings,candiloro,General Audiences,25 Mar 2022
936,Break the Silence,dreysam,General Audiences,25 Mar 2022
937,Story on the Eve of the Witches’ Night,BaiukHikaeli,Teen And Up Audiences,25 Mar 2022
938,A Collection of Lost and Broken Things,oktavia,Teen And Up Audiences,24 Mar 2022
939,One More Bad Idea,AkemiHomura103,Teen And Up Audiences,22 Mar 2022
940,Kisekigoroshi-hen,Inked (Driven2iNsAniTy),Not Rated,22 Mar 2022
941,sanguine,Child_of_the_Fae,Teen And Up Audiences,21 Mar 2022
942,Wishes,Loli_Molester,Teen And Up Audiences,21 Mar 2022
943,Short Story Chronicles,Commelina_L,General Audiences,20 Mar 2022
944,Ai's story ideas,orphan_account,General Audiences,19 Mar 2022
945,Hameru’s Revenge,H_phone001,Explicit,17 Mar 2022
946,回溯,blurrylightning,Mature,15 Mar 2022
947,There's Magic in South Park,pangs,Mature,15 Mar 2022
948,Retrograde,PentaclePal,Teen And Up Audiences,14 Mar 2022
949,Magia Record/PMMM Emote Fic Collection,AlwaysSometimesKobold,Teen And Up Audiences,14 Mar 2022
950,Like the Ghost of Kyiv,Yotsubadancesintherain5,General Audiences,14 Mar 2022
951,going together,atamascolily,Explicit,11 Mar 2022
952,Beyond Spring,atamascolily,Mature,11 Mar 2022
953,Carry me to the afterlife,Inkrael,General Audiences,10 Mar 2022
954,Indigo,TakerFoxx,General Audiences,09 Mar 2022
955,To the Snake Island 13,thesupremetrashcan,General Audiences,09 Mar 2022
956,Family Business,Loli_Molester,Teen And Up Audiences,08 Mar 2022
957,Sunny Side Up,Ket_N_Vinny,Teen And Up Audiences,07 Mar 2022
958,Kaleidoscope of Worlds,defuse00,Teen And Up Audiences,06 Mar 2022
959,Walpurgis Nights,everybodys3nemy,Teen And Up Audiences,06 Mar 2022
960,Memories From the Past,BrokennRoses,General Audiences,06 Mar 2022
961,Usagi Commits Tax Fraud,TTY7,Explicit,06 Mar 2022
962,Tales of the Ironclad Quartet,junebugtwin,Teen And Up Audiences,06 Mar 2022
963,Her Life had Stood a Loaded Gun,GorochuVA,Teen And Up Audiences,05 Mar 2022
964,To the Bloodstained Flowers,CrestTheFallen,Not Rated,03 Mar 2022
965,Living A Star Filled Love Live! MaGIA→PuellA,Yotsubadancesintherain5,Teen And Up Audiences,03 Mar 2022
966,Dark Magician: The Chronicles of Kyoshiro Sakura,ShineWriter,Teen And Up Audiences,03 Mar 2022
967,Black Slavery Month,Loli_Molester,Explicit,01 Mar 2022
968,"The story you're in is tragic, but the narrator's rooting for you",HomuraAkememes1000,Teen And Up Audiences,28 Feb 2022
969,Hand Me Down,GorochuVA,General Audiences,28 Feb 2022
970,Magical Girl World Mission,Blazing_rain,General Audiences,27 Feb 2022
971,a billion pieces,LooseGazpacho,General Audiences,26 Feb 2022
972,"Over A Violet Waste, I Am Struck Down",ROSALIAS_MOTOMAMIS,Teen And Up Audiences,26 Feb 2022
973,Mami Kidnaps Children,HelioA,Explicit,25 Feb 2022
974,Timmasaw Troubles: A Madoka Magica OC AU,PentaclePal,Teen And Up Audiences,24 Feb 2022
975,The Witch of the New World,MagicalDogToto,Mature,23 Feb 2022
976,Elegy For,Scarfanon,General Audiences,23 Feb 2022
977,Defiance of Cosmos,GorochuVA,Teen And Up Audiences,22 Feb 2022
978,here & now (reality),GorochuVA,Mature,20 Feb 2022
979,A Wish Fulfilled,orphan_account,Teen And Up Audiences,20 Feb 2022
980,Running Joke,ThePokeManik,Teen And Up Audiences,19 Feb 2022
981,Yachiyo Nanami and the Fashion Model,x_They_Who_Remain_x,Teen And Up Audiences,19 Feb 2022
982,My interpretation of PMMM,rubylily,Mature,16 Feb 2022
983,Kyubey Face Cake,HelioA,General Audiences,15 Feb 2022
984,My Sincerest Condolences,Startle_Stars,General Audiences,15 Feb 2022
985,Birthday/Grown Up,smolflayn69,Not Rated,14 Feb 2022
986,Celebration,laurlovescookies,Teen And Up Audiences,14 Feb 2022
987,Puella Magi Madoka Magica: die Finsternis,atamascolily,Mature,14 Feb 2022
988,Pieces of Divinity,vortex_ware,General Audiences,14 Feb 2022
989,Love is an Infinity of Limitations,Pauliestorylover,Teen And Up Audiences,13 Feb 2022
990,Pocky Game's Kiss,Yotsubadancesintherain5,Mature,11 Feb 2022
991,Madoka's Secret Surprise,littlemissoyashirou,Teen And Up Audiences,10 Feb 2022
992,"The Magician Mariner, and the Sunflower Devotee",Squiped_Mew,Teen And Up Audiences,09 Feb 2022
993,half-life,angsty_simp,Teen And Up Audiences,09 Feb 2022
994,project R Episode 1: frontier,Shrimpbun,Teen And Up Audiences,08 Feb 2022
995,Falling (Rising),NidoranDuran,Teen And Up Audiences,08 Feb 2022
996,"Exceedingly Simple, Sharing Joy",KibaSniper,General Audiences,07 Feb 2022
997,Worthy of My Grace,Gerak999,Teen And Up Audiences,07 Feb 2022
998,Danganronpa: Hero Killing Semester!,a311243549,Teen And Up Audiences,07 Feb 2022
999,lovingly walked in the snow with you,LadyCiel,Not Rated,07 Feb 2022
1000,You Wanna Be Friends Forever? I Can Think of Something Better,WTF Anime 2022 (fandom_Anime_2020),Teen And Up Audiences,07 Feb 2022
1001,Sly Looks In Corridors Without A Plan Of Yours,Loli_Molester,Explicit,06 Feb 2022
1002,A Kindred Spirit in My Final Hour,Onuuki_de_Mordria,Teen And Up Audiences,06 Feb 2022
1003,Pinky Punch Madoka,Pauliestorylover,Teen And Up Audiences,06 Feb 2022
1004,Meguca No Hexe - Oktavia Quest,The_Hunter_Nightingale,Teen And Up Audiences,05 Feb 2022
1005,"[Art] Pink, pink, pink",HazelGatoya,General Audiences,05 Feb 2022
1006,Madoka Attacks North Korea Side Story: Asuka Emblem,Buttercup_ghost,Explicit,05 Feb 2022
1007,Un avenir malheureux,Finnigan,Mature,04 Feb 2022
1008,Undying Echoes,WTF Anime and Manga 2022 (Anime_Shelter),Teen And Up Audiences,04 Feb 2022
1009,Blink And Bring Me a Missed Moment,Gerendo01,Teen And Up Audiences,03 Feb 2022
1010,"God, the Devil, and Banana Splits",Gerendo01,General Audiences,01 Feb 2022
1011,"but i meant every word i said, from deranged to divine",Rafira,Not Rated,29 Jan 2022
1012,Понемногу,SCP_guy_thing,Teen And Up Audiences,29 Jan 2022
1013,Extras y curiosidades de Akari Magica,dreysam,General Audiences,28 Jan 2022
1014,Mahou Shoujo Akari Magica: Civil War,Mechanischer Man (RoadToZion),Teen And Up Audiences,28 Jan 2022
1015,Mahou Shonen Cloud Magica,aikotters,Teen And Up Audiences,28 Jan 2022
1016,Of a mother's life,phfatbeatrice,General Audiences,27 Jan 2022
1017,I'll Find You Again,Sugarberry_and_tea,Mature,26 Jan 2022
1018,Puella Daemonium Vocatorem,SakuraKamui,Teen And Up Audiences,25 Jan 2022
1019,black ribbons,Pan_Pride_16,Teen And Up Audiences,23 Jan 2022
1020,All I Want For Christmas is You,Taba,Explicit,22 Jan 2022
1021,Can’t bring myself to hate you,Baskerra_Hellmane,Teen And Up Audiences,22 Jan 2022
